Year,State Fips,State Abbreviation,Share with medical debt in collections,Median medical debt in collections in $2023,Share with medical debt in collections - Majority White,Median medical debt in collections in $2023 - Majority White,Share with medical debt in collections - Majority of Color,Median medical debt in collections in $2023 - Majority of Color,Hospital market concentration (HHI),Number of Closures and Mergers,Share of the population with no health insurance coverage,Share of non-elderly adults with a reported disability,Average household income in $2023
2015,35,NM,.266,959,.213,959,.294,959,1775,0,.109,.127,80666
2016,35,NM,.253,984,.201,1003,.281,979,1808,0,.092,.126,81905
2017,35,NM,.234,900,.186,965,.26,877,1732,0,.091,.139,80307
2018,35,NM,.227,887,.186,984,.249,864,1804,0,.095,.131,80999
2019,35,NM,.198,952,.164,1015,.215,922,1909,0,.1,.137,85325
2020,35,NM,.18,885,.15,908,.196,879,1899,0,NA,NA,NA
2021,35,NM,.174,834,.142,825,.19,837,1776,0,.1,.141,86573
2022,35,NM,.15,740,.126,729,.162,743,1768,2,.082,.144,85773
2023,35,NM,.059,1550,.047,1568,.065,1542,NA,NA,NA,NA,NA
2011,36,NY,.1,587,.1,593,.099,584,1641,0,.114,.086,108698
2012,36,NY,.094,526,.098,581,.089,430,1689,3,.109,.084,108083
2013,36,NY,.093,523,.1,577,.082,424,1868,0,.107,.087,111143
2014,36,NY,.094,541,.1,587,.084,450,1845,2,.087,.089,111415
2015,36,NY,.085,550,.094,584,.071,482,1850,0,.071,.088,115583
2016,36,NY,.076,561,.084,581,.063,521,1986,2,.061,.089,118542
2017,36,NY,.071,543,.076,562,.063,507,2057,3,.057,.089,120722
2018,36,NY,.076,541,.08,567,.068,487,2073,8,.054,.087,121855
2019,36,NY,.069,569,.073,586,.061,536,2150,4,.052,.09,127950
2020,36,NY,.064,563,.068,580,.059,533,2183,5,NA,NA,NA
2021,36,NY,.059,522,.062,531,.055,506,2247,5,.052,.093,123392
2022,36,NY,.05,466,.051,466,.047,466,2260,1,.049,.1,124034
2023,36,NY,.017,1181,.017,1266,.015,1119,NA,NA,NA,NA,NA
2011,37,NC,.296,940,.272,946,.365,932,2906,1,.163,.116,82548
2012,37,NC,.261,773,.239,783,.33,751,2910,0,.166,.112,82026
2013,37,NC,.279,871,.258,882,.345,850,3149,0,.156,.117,83848
2014,37,NC,.282,924,.259,916,.355,943,3267,2,.131,.118,83788
2015,37,NC,.274,950,.249,945,.35,968,3495,3,.112,.119,86796
2016,37,NC,.269,909,.246,918,.339,891,3419,0,.104,.118,89559
2017,37,NC,.245,801,.226,823,.302,763,3569,1,.107,.112,92120
2018,37,NC,.243,847,.226,863,.296,817,3554,2,.107,.109,93062
2019,37,NC,.233,894,.218,927,.281,829,3596,2,.113,.108,95391
2020,37,NC,.207,828,.194,846,.249,784,3681,1,NA,NA,NA
2021,37,NC,.209,851,.194,865,.256,826,3623,4,.104,.113,97610
2022,37,NC,.189,781,.176,788,.231,770,3722,0,.093,.114,98237
2023,37,NC,.085,1528,.078,1529,.105,1507,NA,NA,NA,NA,NA
2011,38,ND,.126,965,.12,1000,.296,719,3585,0,.098,.079,89410
2012,38,ND,.137,1067,.13,1107,.315,739,3601,0,.1,.082,96211
2013,38,ND,.134,927,.127,1022,.312,815,3749,0,.104,.085,96537
2014,38,ND,.123,920,.117,920,.295,979,3932,0,.079,.083,101855
2015,38,ND,.108,866,.104,868,.234,848,4047,0,.078,.081,104722
2016,38,ND,.094,803,.09,818,.186,703,3853,0,.07,.093,100529
2017,38,ND,.096,830,.093,849,.177,674,4064,0,.075,.081,100270
2018,38,ND,.094,757,.091,762,.169,523,4281,0,.073,.083,100029
2019,38,ND,.082,812,.08,812,.138,NA,4333,0,.069,.092,101962
2020,38,ND,.074,792,.072,773,.128,1164,4234,0,NA,NA,NA
2021,38,ND,.052,651,.051,650,.077,690,4168,0,.079,.107,97454
2022,38,ND,.054,568,.053,566,.092,584,3709,0,.064,.102,101721
2023,38,ND,.024,1286,.024,1257,.039,NA,NA,NA,NA,NA,NA
2011,39,OH,.223,706,.211,702,.32,722,2275,3,.119,.115,82907
2012,39,OH,.226,687,.215,683,.316,698,2293,3,.115,.118,83311
2013,39,OH,.228,688,.217,685,.317,706,2440,1,.11,.119,85187
2014,39,OH,.206,653,.197,651,.28,672,2472,2,.084,.119,85273
2015,39,OH,.201,650,.192,645,.276,679,2428,3,.065,.12,88550
2016,39,OH,.192,587,.185,595,.249,536,2390,2,.056,.121,90717
2017,39,OH,.191,614,.182,595,.274,706,2383,0,.06,.12,91163
2018,39,OH,.186,644,.177,629,.259,746,2489,2,.065,.121,92405
2019,39,OH,.176,718,.168,704,.244,784,2519,5,.066,.118,94756
2020,39,OH,.169,736,.163,728,.229,794,2614,2,NA,NA,NA
2021,39,OH,.162,739,.156,730,.218,780,2646,3,.065,.121,95100
2022,39,OH,.14,641,.134,634,.19,705,2734,2,.059,.122,93818
2023,39,OH,.063,1313,.06,1323,.086,1246,NA,NA,NA,NA,NA
2011,40,OK,.275,882,.258,870,.394,956,1392,0,.187,.141,79264
2012,40,OK,.284,855,.267,844,.404,918,1466,0,.184,.137,80024
2013,40,OK,.282,908,.267,901,.39,939,1526,2,.177,.139,81113
2014,40,OK,.282,883,.268,877,.389,908,1598,0,.154,.144,83125
2015,40,OK,.282,907,.267,901,.394,947,1605,1,.139,.138,85182
2016,40,OK,.26,858,.246,846,.37,937,1684,1,.138,.144,84484
2017,40,OK,.26,917,.248,910,.353,946,1872,2,.142,.147,84554
2018,40,OK,.259,1040,.247,1039,.353,1054,1893,0,.142,.142,86921
2019,40,OK,.254,1216,.241,1206,.355,1262,1959,4,.143,.141,90028
2020,40,OK,.224,1349,.215,1336,.301,1387,2021,0,NA,NA,NA
2021,40,OK,.237,1095,.226,1076,.325,1223,2007,1,.138,.153,84820
2022,40,OK,.198,886,.19,860,.267,1008,2016,0,.117,.155,86147
2023,40,OK,.101,1621,.097,1645,.141,1504,NA,NA,NA,NA,NA
2011,41,OR,.147,1025,.146,1025,.18,1013,2895,0,.157,.115,85039
2012,41,OR,.157,1081,.156,1080,.173,1143,2890,0,.149,.117,86155
2013,41,OR,.161,1070,.16,1071,.183,1041,2885,0,.147,.126,88281
2014,41,OR,.159,1126,.159,1131,.182,853,2878,0,.097,.129,89080
2015,41,OR,.151,1044,.15,1046,.17,949,2866,0,.07,.129,94032
2016,41,OR,.136,995,.135,1002,.157,838,2932,0,.062,.121,98340
2017,41,OR,.118,932,.116,940,.188,739,2895,0,.068,.114,99625
2018,41,OR,.101,785,.099,785,.17,754,2793,0,.071,.116,103428
2019,41,OR,.069,698,.068,697,.117,740,2891,0,.072,.12,105417
2020,41,OR,.068,676,.067,678,.114,551,2883,0,NA,NA,NA
2021,41,OR,.054,695,.054,706,.086,455,2855,0,.061,.13,107571
2022,41,OR,.042,623,.042,632,.06,457,2894,1,.06,.131,107160
2023,41,OR,.015,1372,.015,1368,.014,NA,NA,NA,NA,NA,NA
2011,42,PA,.155,657,.144,677,.224,578,1890,0,.101,.109,91162
2012,42,PA,.165,616,.154,634,.239,553,1950,2,.098,.109,92023
2013,42,PA,.172,628,.163,650,.24,539,2070,2,.097,.109,93647
2014,42,PA,.164,606,.154,619,.233,560,2140,1,.085,.112,94102
2015,42,PA,.155,668,.148,671,.208,659,2197,0,.064,.113,97679
2016,42,PA,.152,663,.146,664,.195,658,2354,2,.056,.117,99093
2017,42,PA,.135,593,.131,602,.17,559,2501,0,.055,.114,100696
2018,42,PA,.13,621,.126,632,.161,576,2576,3,.055,.115,101643
2019,42,PA,.122,633,.118,642,.148,592,2631,3,.058,.115,104630
2020,42,PA,.116,656,.112,669,.146,591,2793,2,NA,NA,NA
2021,42,PA,.105,618,.101,618,.135,626,2839,6,.055,.113,105516
2022,42,PA,.086,512,.083,512,.109,510,2901,4,.053,.12,104132
2023,42,PA,.034,1268,.032,1250,.044,1369,NA,NA,NA,NA,NA
2011,44,RI,.076,400,.068,398,.117,405,2681,0,.108,.096,97841
2012,44,RI,.073,445,.065,461,.111,393,2828,0,.111,.106,96424
2013,44,RI,.073,394,.065,422,.108,370,2927,0,.116,.099,100479
2014,44,RI,.078,418,.068,416,.124,427,2952,0,.074,.118,99295
2015,44,RI,.078,445,.069,441,.119,469,2985,0,.057,.111,100654
2016,44,RI,.08,617,.069,571,.133,736,3018,0,.043,.115,103106
2017,44,RI,.071,469,.065,469,.096,489,3125,0,.046,.114,106007
2018,44,RI,.069,568,.063,547,.098,628,3268,1,.041,.122,105085
2019,44,RI,.064,644,.058,629,.094,677,3224,0,.041,.11,110308
2020,44,RI,.056,652,.054,649,.067,673,3112,0,NA,NA,NA
2021,44,RI,.055,586,.051,600,.074,561,2921,0,.043,.115,111486
2022,44,RI,.047,588,.044,608,.062,449,2925,0,.042,.109,112469
2023,44,RI,.015,1340,.014,1331,.021,1410,NA,NA,NA,NA,NA
2011,45,SC,.299,908,.281,929,.35,876,2343,0,.167,.123,77959
2012,45,SC,.293,853,.275,865,.347,823,2568,2,.168,.124,78357
2013,45,SC,.291,850,.277,861,.332,817,2574,0,.158,.127,78383
2014,45,SC,.295,943,.279,954,.342,922,2882,0,.136,.129,79675
2015,45,SC,.282,901,.266,914,.333,861,3076,3,.109,.126,82729
2016,45,SC,.28,931,.26,957,.343,868,3077,2,.1,.132,86188
2017,45,SC,.26,985,.242,996,.316,952,3246,0,.11,.126,87281
2018,45,SC,.273,955,.252,959,.34,940,3550,0,.105,.122,88267
2019,45,SC,.264,1168,.247,1193,.32,1108,3559,2,.108,.118,93187
2020,45,SC,.252,1107,.235,1138,.307,1024,3448,0,NA,NA,NA
2021,45,SC,.244,1102,.223,1124,.312,1049,3465,4,.1,.121,91736
2022,45,SC,.193,832,.178,855,.246,766,3551,0,.091,.123,92356
2023,45,SC,.091,1753,.085,1768,.113,1700,NA,NA,NA,NA,NA
2011,46,SD,.056,746,.052,746,.14,725,4101,0,.119,.097,82934
2012,46,SD,.06,691,.055,691,.16,672,4365,0,.115,.102,83354
2013,46,SD,.052,743,.047,734,.151,800,4373,0,.113,.114,84163
2014,46,SD,.056,730,.051,700,.153,1013,4705,1,.098,.103,85694
2015,46,SD,.052,672,.047,646,.142,888,4661,0,.102,.101,88348
2016,46,SD,.047,621,.044,603,.115,830,4730,0,.087,.101,90627
2017,46,SD,.045,594,.042,570,.11,813,4715,2,.091,.098,91314
2018,46,SD,.043,658,.041,593,.09,1155,4746,0,.098,.105,89850
2019,46,SD,.041,738,.038,713,.097,1091,4789,1,.102,.11,92546
2020,46,SD,.045,816,.042,806,.098,1078,4867,0,NA,NA,NA
2021,46,SD,.034,768,.032,748,.075,974,4896,0,.095,.1,96924
2022,46,SD,.029,688,.028,686,.059,692,4823,0,.081,.11,94544
2023,46,SD,.014,1615,.013,1638,.032,NA,NA,NA,NA,NA,NA
2011,47,TN,.224,908,.216,902,.266,933,1955,0,.146,.138,79109
2012,47,TN,.226,860,.219,872,.267,817,1972,0,.139,.135,79027
2013,47,TN,.244,872,.235,880,.293,838,2104,5,.139,.137,81300
2014,47,TN,.247,895,.239,892,.289,906,2169,4,.12,.141,80745
2015,47,TN,.239,900,.235,902,.265,887,2129,4,.103,.137,84859
2016,47,TN,.242,938,.237,944,.268,922,2134,4,.09,.139,86462
2017,47,TN,.232,937,.227,950,.259,906,2462,0,.095,.132,89511
2018,47,TN,.224,1037,.218,1051,.256,979,2634,4,.101,.135,89134
2019,47,TN,.215,1130,.206,1137,.267,1108,2673,2,.101,.132,93005
2020,47,TN,.206,1117,.197,1101,.261,1201,2687,6,NA,NA,NA
2021,47,TN,.193,1091,.189,1118,.221,949,2755,1,.1,.128,94206
2022,47,TN,.169,951,.164,967,.199,861,2713,0,.093,.126,93496
2023,47,TN,.074,1392,.069,1447,.106,1180,NA,NA,NA,NA,NA
2011,48,TX,.263,899,.236,905,.285,895,1926,5,.23,.101,93380
2012,48,TX,.257,905,.232,894,.278,914,1954,4,.225,.1,93869
2013,48,TX,.259,926,.235,913,.279,938,1966,6,.221,.1,96034
2014,48,TX,.263,986,.236,973,.287,995,1999,4,.191,.099,97249
2015,48,TX,.261,1016,.235,994,.284,1028,2007,11,.171,.098,101382
2016,48,TX,.259,1079,.233,1037,.282,1112,2048,4,.166,.098,102003
2017,48,TX,.25,1032,.223,973,.273,1065,2096,7,.173,.095,102887
2018,48,TX,.248,1006,.226,956,.268,1029,2131,6,.177,.095,104089
2019,48,TX,.233,1158,.21,1131,.253,1181,2183,14,.184,.094,106885
2020,48,TX,.23,1227,.207,1166,.251,1277,2252,16,NA,NA,NA
2021,48,TX,.212,1113,.192,1063,.231,1157,2275,8,.18,.101,105328
2022,48,TX,.177,878,.16,838,.193,911,2266,15,.166,.104,105926
2023,48,TX,.089,1628,.078,1619,.1,1635,NA,NA,NA,NA,NA
2011,49,UT,.193,1130,.183,1124,.327,1172,3467,0,.153,.081,94212
2012,49,UT,.193,1222,.183,1226,.336,1200,3412,0,.145,.082,95388
2013,49,UT,.189,1199,.179,1194,.326,1227,3406,0,.14,.086,98389
2014,49,UT,.174,1030,.165,1016,.296,1149,3503,0,.125,.086,99638
2015,49,UT,.171,1120,.162,1104,.291,1248,3497,0,.105,.088,102666
2016,49,UT,.171,1118,.162,1103,.29,1264,3390,0,.088,.089,106790
2017,49,UT,.134,1080,.128,1064,.227,1254,3354,0,.092,.083,107454
2018,49,UT,.145,1210,.139,1201,.236,1327,3767,0,.094,.084,110539
2019,49,UT,.14,1238,.134,1241,.236,1183,3622,0,.097,.081,114911
2020,49,UT,.14,1187,.134,1194,.235,1065,3614,0,NA,NA,NA
2021,49,UT,.129,1137,.123,1144,.227,1066,3617,0,.09,.097,118156
2022,49,UT,.065,572,.061,570,.13,589,3701,0,.081,.097,118738
2023,49,UT,.024,1567,.023,1560,.045,1666,NA,NA,NA,NA,NA
2011,50,VT,.098,599,.097,599,NA,NA,1664,0,.066,.104,91030
2012,50,VT,.1,628,.1,629,NA,NA,1719,0,.065,.116,91100
2013,50,VT,.094,583,.094,583,NA,NA,1859,0,.072,.115,91257
2014,50,VT,.093,623,.093,623,NA,NA,1666,0,.05,.123,90062
2015,50,VT,.093,659,.093,659,NA,NA,1711,0,.038,.121,95777
2016,50,VT,.08,677,.08,674,NA,NA,1697,0,.037,.127,96300
2017,50,VT,.08,747,.08,745,NA,NA,1723,0,.046,.122,95170
2018,50,VT,.067,569,.067,569,NA,NA,1696,0,.04,.115,96485
2019,50,VT,.063,597,.063,597,NA,NA,1801,0,.045,.121,98940
2020,50,VT,.056,707,.056,707,NA,NA,1769,0,NA,NA,NA
2021,50,VT,.051,573,.051,573,NA,NA,2290,0,.037,.112,106259
2022,50,VT,.043,457,.043,457,NA,NA,2565,0,.039,.13,101265
2023,50,VT,.012,1054,.012,1054,NA,NA,NA,NA,NA,NA,NA
2011,51,VA,.175,719,.165,722,.199,715,3394,0,.125,.091,113841
2012,51,VA,.184,710,.172,697,.212,737,3387,1,.125,.087,112330
2013,51,VA,.194,760,.181,743,.224,793,3515,1,.123,.093,113294
2014,51,VA,.191,749,.18,749,.218,752,3609,1,.109,.094,113853
2015,51,VA,.186,762,.175,752,.212,784,3626,4,.091,.093,116416
2016,51,VA,.177,739,.166,726,.202,768,3641,1,.087,.097,119260
2017,51,VA,.183,791,.171,766,.212,837,3715,1,.088,.097,121372
2018,51,VA,.185,825,.171,784,.219,902,3821,1,.088,.094,122416
2019,51,VA,.176,878,.162,851,.209,929,3935,0,.079,.097,125251
2020,51,VA,.166,889,.15,844,.206,958,3998,0,NA,NA,NA
2021,51,VA,.16,847,.145,797,.195,934,4095,2,.068,.101,125141
2022,51,VA,.138,742,.125,705,.17,816,4145,0,.065,.104,123959
2023,51,VA,.062,1436,.054,1446,.084,1418,NA,NA,NA,NA,NA
2011,53,WA,.105,843,.099,829,.138,935,2203,0,.142,.106,100492
2012,53,WA,.104,906,.099,873,.136,1125,2247,0,.139,.102,100622
2013,53,WA,.105,930,.101,908,.128,1025,2203,0,.14,.111,102144
2014,53,WA,.107,963,.103,931,.134,1158,2339,0,.092,.111,104535
2015,53,WA,.095,784,.092,771,.115,865,2360,0,.066,.109,110113
2016,53,WA,.086,809,.083,783,.103,917,2429,0,.06,.11,114659
2017,53,WA,.074,712,.072,706,.088,727,2354,0,.061,.106,117218
2018,53,WA,.063,678,.06,671,.082,726,2391,1,.064,.104,121054
2019,53,WA,.062,745,.059,732,.085,809,2422,0,.066,.102,126066
2020,53,WA,.053,692,.05,678,.072,757,2509,2,NA,NA,NA
2021,53,WA,.053,681,.05,679,.077,695,2515,0,.064,.109,130833
2022,53,WA,.044,564,.04,563,.066,564,2492,0,.061,.112,131028
2023,53,WA,.014,1353,.014,1328,.02,1441,NA,NA,NA,NA,NA
2011,54,WV,.293,1011,.293,1011,NA,NA,2359,1,.149,.173,72158
2012,54,WV,.303,953,.304,953,NA,NA,2407,0,.144,.17,71518
2013,54,WV,.319,1035,.319,1036,NA,NA,2443,0,.14,.181,72968
2014,54,WV,.316,985,.316,985,NA,NA,2446,1,.086,.179,70632
2015,54,WV,.301,933,.302,933,NA,NA,2473,0,.06,.169,72722
2016,54,WV,.29,788,.29,787,NA,NA,2552,0,.053,.178,76382
2017,54,WV,.308,847,.308,847,NA,NA,2586,0,.061,.176,74034
2018,54,WV,.314,825,.314,825,NA,NA,2794,0,.064,.165,74877
2019,54,WV,.286,778,.286,776,NA,NA,3063,1,.067,.17,78472
2020,54,WV,.259,695,.259,695,NA,NA,3463,3,NA,NA,NA
2021,54,WV,.258,706,.258,706,NA,NA,3388,0,.061,.168,81293
2022,54,WV,.23,574,.23,574,NA,NA,3905,0,.059,.163,78363
2023,54,WV,.067,1406,.067,1405,NA,NA,NA,NA,NA,NA,NA
2011,55,WI,.159,1023,.138,1057,.352,924,1899,2,.09,.092,87289
2012,55,WI,.163,1052,.142,1094,.358,917,1957,0,.09,.094,87618
2013,55,WI,.165,1029,.145,1060,.353,912,2013,0,.091,.1,88016
2014,55,WI,.161,1055,.145,1071,.316,996,2133,0,.073,.1,88749
2015,55,WI,.165,1141,.146,1158,.348,1094,2240,0,.057,.099,92688
2016,55,WI,.162,1124,.142,1110,.365,1197,2193,0,.053,.098,95359
2017,55,WI,.162,1210,.14,1195,.384,1257,2333,0,.054,.096,96175
2018,55,WI,.155,1232,.136,1235,.349,1228,2443,3,.055,.092,96657
2019,55,WI,.153,1228,.136,1237,.345,1204,2509,0,.057,.094,98802
2020,55,WI,.11,1043,.099,1043,.232,1045,2616,0,NA,NA,NA
2021,55,WI,.115,1037,.104,1048,.242,992,2644,0,.054,.101,99297
2022,55,WI,.101,977,.093,1003,.184,817,2677,1,.052,.104,97958
2023,55,WI,.052,1662,.048,1711,.09,1296,NA,NA,NA,NA,NA
2011,56,WY,.185,1417,.184,1428,.549,NA,2417,0,.154,.102,93312
2012,56,WY,.192,1399,.19,1411,.538,NA,2511,0,.154,.097,90535
2013,56,WY,.199,1461,.196,1494,NA,NA,2482,0,.134,.102,93887
2014,56,WY,.206,1400,.204,1409,.577,NA,2568,1,.12,.108,93063
2015,56,WY,.204,1280,.202,1278,.574,NA,2465,0,.115,.105,98904
2016,56,WY,.196,1421,.194,1421,.643,NA,2455,0,.115,.112,95945
2017,56,WY,.195,1448,.192,1432,.661,NA,2386,0,.123,.122,94293
2018,56,WY,.192,1519,.189,1518,.68,NA,2400,1,.105,.105,99423
2019,56,WY,.191,1617,.188,1615,NA,NA,2485,0,.123,.115,99107
2020,56,WY,.187,1765,.184,1758,.635,2691,2620,1,NA,NA,NA
2021,56,WY,.173,1812,.172,1812,.453,NA,2511,0,.122,.113,97730
2022,56,WY,.155,1539,.153,1541,.434,NA,2649,1,.115,.121,93724
2023,56,WY,.1,2516,.099,2558,.21,NA,NA,NA,NA,NA,NA
